,Product,Price,Rating,Image_url
0,"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage) ","79,999","2,439",//fls-eu.amazon.in/1/batch/1/OP/A21TJRUUN4KGV:262-5435690-3583000:468HNJVA558EF2FHVR0B$uedata=s:%2Frd%2Fuedata%3Fstaticb%26id%3D468HNJVA558EF2FHVR0B:0
1,"Lava Yuva 3 (Eclipse Black, 4+4*GB + 128GB)|Segment's Most Affordable Smartphone with 128 GB (UFS 2.2) Storage | 90Hz Punch Hole Display|13MP AI Triple Camera|Side Fingerprint Sensor |Bloatware Free ","6,699",272,https://m.media-amazon.com/images/G/31/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB542307618_.png
2,"OnePlus 11R 5G (Galactic Silver, 8GB RAM, 128GB Storage) ","28,498","18,186",https://m.media-amazon.com/images/I/71lD7eGdW-L._AC_UY218_.jpg
3,"Vivo V40e 5G AI Smartphone (Royal Bronze, 8GB RAM + 256GB Storage) ","28,219",9,https://m.media-amazon.com/images/I/61aDwL2gmvL._AC_UY218_.jpg
4,"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage) ","24,999","5,901",https://m.media-amazon.com/images/I/613SAOPmLeL._AC_UY218_.jpg
5,"OPPO F27 Pro+ 5G (Midnight Navy, 8GB RAM, 256GB Storage) | 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers ","29,999",332,https://m.media-amazon.com/images/I/51dpdIhv8wL._AC_UY218_.jpg
6,"Vivo V30e 5G Smartphone (Velvet Red, 8GB RAM, 256GB Storage) ","25,419",39,https://m.media-amazon.com/images/I/61g1pqSjAhL._AC_UY218_.jpg
7,"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage) ","29,999","1,489",https://m.media-amazon.com/images/I/91wPh6RMcdL._AC_UY218_.jpg
8,"Motorola Edge 50 Fusion 5G (Hot Pink, 12GB RAM, 256GB Storage) ","27,250",105,https://m.media-amazon.com/images/I/61vxwwIEnXL._AC_UY218_.jpg
9,"Motorola Edge 50 Fusion 5G (Marshmallow Blue, 12GB RAM, 256GB Storage) ","26,589",191,https://m.media-amazon.com/images/I/616wnQmPQ-L._AC_UY218_.jpg
10,"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage) ","24,999","5,901",https://m.media-amazon.com/images/I/71m+dNHzoGL._AC_UY218_.jpg
11,"Vivo V40e 5G AI Smartphone (Royal Bronze, 8GB RAM + 128GB Storge) ","26,400",11,https://m.media-amazon.com/images/I/71XZP2Hm+5L._AC_UY218_.jpg
12,"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone ","21,999","7,718",https://m.media-amazon.com/images/I/61nxQ62qglL._AC_UY218_.jpg
13,"Nothing Phone (2a) Plus (Grey, 8GB RAM, 256GB Storage) | Up to 16GB RAM | Dimensity 7350 Pro 5G Processor | 50MP + 50MP | 50MP Front Camera | 6.7"" AMOLED Display | 56 Minutes Charge of 100% ","25,337",24,https://m.media-amazon.com/images/I/51dpdIhv8wL._AC_UY218_.jpg
14,"HONOR 200 5G (Black, 8GB + 256GB) | 6.7-inch AMOLED Quad-Curved Display | Dual OIS 50MP + 50MP + 12MP Camera | 50MP Selfie Camera | AI-Powered MagicOS 8.0 | Without Charger ","29,998",602,https://m.media-amazon.com/images/I/61Id6WJDWqL._AC_UY218_.jpg
15,"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) ","17,999","3,014",https://m.media-amazon.com/images/I/81lRPeeHZgL._AC_UY218_.jpg
16,"OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 128GB Storage) ","27,999","1,489",https://m.media-amazon.com/images/I/71yVqjq0aeL._AC_UY218_.jpg
17,"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage) ","17,499","15,481",https://m.media-amazon.com/images/I/61Io5-ojWUL._AC_UY218_.jpg
18,N/A,N/A,N/A,https://m.media-amazon.com/images/I/61NbiB1GU-L._AC_UY218_.jpg
19,N/A,N/A,N/A,https://m.media-amazon.com/images/I/6175SlKKECL._AC_UY218_.jpg
